species,genus,species_1,family,order,C,S,R,CSR
Ranunculus alpestris,Ranunculus,alpestris,Ranunculaceae,Ranunculales,16.56,42.12,41.32,SR/CSR
Ranunculus circinatus,Ranunculus,circinatus,Ranunculaceae,Ranunculales,4.02,0,95.98,R
Ranunculus crassifolius,Ranunculus,crassifolius,Ranunculaceae,Ranunculales,26.41,16.17,57.42,R/CSR
Ranunculus fascicularis,Ranunculus,fascicularis,Ranunculaceae,Ranunculales,23.08,13.44,63.48,R/CR
Ficaria verna,Ficaria,verna,Ranunculaceae,Ranunculales,33.46,0,66.54,R/CR
Ranunculus glacialis,Ranunculus,glacialis,Ranunculaceae,Ranunculales,40.64,0,59.36,CR
Ranunculus hybridus,Ranunculus,hybridus,Ranunculaceae,Ranunculales,32.78,41.01,26.22,CSR
Ranunculus kuepferi,Ranunculus,kuepferi,Ranunculaceae,Ranunculales,22.22,55.07,22.7,S/CSR
Ranunculus oreophilus,Ranunculus,oreophilus,Ranunculaceae,Ranunculales,28.37,31.3,40.33,CSR
Ranunculus peltatus,Ranunculus,peltatus,Ranunculaceae,Ranunculales,15.67,0,84.33,R
Ranunculus platanifolius,Ranunculus,platanifolius,Ranunculaceae,Ranunculales,76.74,6.31,16.96,C/CR
Ranunculus septentrionalis,Ranunculus,septentrionalis,Ranunculaceae,Ranunculales,28.04,23.75,48.21,R/CSR
Ranunculus serpens,Ranunculus,serpens,Ranunculaceae,Ranunculales,53.64,0,46.36,CR
Ranunculus thora,Ranunculus,thora,Ranunculaceae,Ranunculales,58.51,17.36,24.12,C/CSR
Raphanus sativus,Raphanus,sativus,Brassicaceae,Brassicales,62.35,0,37.65,CR
Reynoutria x bohemica,Reynoutria,x,Polygonaceae,Caryophyllales,77.98,0,22.02,C/CR
Rhinanthus glacialis,Rhinanthus,glacialis,Orobanchaceae,Lamiales,5.97,40.09,53.95,SR
Rhodiola rosea,Rhodiola,rosea,Crassulaceae,Saxifragales,16.96,0,83.04,R/CR
Richterago arenaria,Richterago,arenaria,Asteraceae,Asterales,49.24,50.76,0,CS
Richterago polymorpha,Richterago,polymorpha,Asteraceae,Asterales,42.59,57.41,0,CS
Rumex alpestris,Rumex,alpestris,Polygonaceae,Caryophyllales,55.99,0,44.01,CR
Salix repens,Salix,repens,Salicaceae,Malpighiales,4.46,76.99,18.55,S/SR
Salvia lyrata,Salvia,lyrata,Lamiaceae,Lamiales,18.75,68.2,13.04,S/CS
Sambucus ebulus,Sambucus,ebulus,Adoxaceae,Dipsacales,81.76,2.27,15.97,C/CR
Saussurea alpina,Saussurea,alpina,Asteraceae,Asterales,30.1,31.54,38.36,CSR
Saxifraga aizoides,Saxifraga,aizoides,Saxifragaceae,Saxifragales,0,66.59,33.41,S/SR
Saxifraga androsacea,Saxifraga,androsacea,Saxifragaceae,Saxifragales,0.72,0,99.28,R
Saxifraga aphylla,Saxifraga,aphylla,Saxifragaceae,Saxifragales,1.24,59.28,39.47,SR
Saxifraga caesia,Saxifraga,caesia,Saxifragaceae,Saxifragales,0,100,0,S
Saxifraga exarata,Saxifraga,exarata,Saxifragaceae,Saxifragales,0,90.55,9.45,S
Saxifraga paniculata,Saxifraga,paniculata,Saxifragaceae,Saxifragales,10.18,89.82,0,S
Saxifraga seguieri,Saxifraga,seguieri,Saxifragaceae,Saxifragales,0,0,100,R
Saxifraga stellaris,Saxifraga,stellaris,Saxifragaceae,Saxifragales,10.47,0,89.53,R
Scabiosa canescens,Scabiosa,canescens,Caprifoliaceae,Dipsacales,34.21,60.41,5.38,S/CS
Lomelosia caucasica,Lomelosia,caucasica,Caprifoliaceae,Dipsacales,51.48,28.01,20.51,C/CSR
Pycnocomon rutifolium,Pycnocomon,rutifolium,Caprifoliaceae,Dipsacales,16.44,83.56,0,S/CS
Scheuchzeria palustris,Scheuchzeria,palustris,Scheuchzeriaceae,Alismatales,27.52,70.04,2.44,S/CS
Scilla autumnalis,Scilla,autumnalis,Asparagaceae,Asparagales,27.7,0,72.3,R/CR
Scorzonera austriaca,Scorzonera,austriaca,Asteraceae,Asterales,46.75,29.48,23.77,C/CSR
Podospermum canum,Podospermum,canum,Asteraceae,Asterales,22.35,31.23,46.42,R/CSR
Scorzonera humilis,Scorzonera,humilis,Asteraceae,Asterales,58.08,9.35,32.57,C/CSR
Scorzoneroides helvetica,Scorzoneroides,helvetica,Asteraceae,Asterales,22.91,48.88,28.22,S/CSR
Scrophularia canina,Scrophularia,canina,Scrophulariaceae,Lamiales,35.85,1.09,63.06,R/CR
Scrophularia nodosa,Scrophularia,nodosa,Scrophulariaceae,Lamiales,44.94,0,55.06,CR
Scutellaria hastifolia,Scutellaria,hastifolia,Lamiaceae,Lamiales,6.73,29.18,64.09,R/SR
Scutellaria lateriflora,Scutellaria,lateriflora,Lamiaceae,Lamiales,13.73,39.58,46.69,SR/CSR
Scutellaria parvula,Scutellaria,parvula,Lamiaceae,Lamiales,3.42,59.9,36.68,SR
Sedum tenellum,Sedum,tenellum,Crassulaceae,Saxifragales,0,66.89,33.11,S/SR
Selaginella selaginoides,Selaginella,selaginoides,Selaginellaceae,Selaginellales,0,58.04,41.96,SR
Jacobaea alpina,Jacobaea,alpina,Asteraceae,Asterales,60.47,8.08,31.45,C/CR
Jacobaea aquatica,Jacobaea,aquatica,Asteraceae,Asterales,50.23,0,49.77,CR
Senecio aurantiacus,Senecio,aurantiacus,Asteraceae,Asterales,43.27,0,56.73,CR
Jacobaea uniflora,Jacobaea,uniflora,Asteraceae,Asterales,16.52,57.32,26.16,S/CSR
Jacobaea incana,Jacobaea,incana,Asteraceae,Asterales,18.03,78.85,3.12,S/CS
Senecio kolenatianus,Senecio,kolenatianus,Asteraceae,Asterales,48.66,0,51.34,CR
Jacobaea paludosa,Jacobaea,paludosa,Asteraceae,Asterales,57.75,0,42.25,CR
Packera paupercula,Packera,paupercula,Asteraceae,Asterales,11.97,0,88.03,R
Iranecio taraxacifolius,Iranecio,taraxacifolius,Asteraceae,Asterales,56.01,0,43.99,CR
Senecio leucanthemifolius,Senecio,leucanthemifolius,Asteraceae,Asterales,48.05,0,51.95,CR
Serapias vomeracea,Serapias,vomeracea,Orchidaceae,Asparagales,45.58,0,54.42,CR
Serratula tinctoria,Serratula,tinctoria,Asteraceae,Asterales,77.12,0.85,22.03,C/CR
Seseli alpinum,Seseli,alpinum,Apiaceae,Apiales,27.12,44.16,28.72,S/CSR
Sibbaldia procumbens,Sibbaldia,procumbens,Rosaceae,Rosales,7.9,69.21,22.89,S/SR
Silene acaulis,Silene,acaulis,Caryophyllaceae,Caryophyllales,0,27.34,72.66,R/SR
Silene latifolia,Silene,latifolia,Caryophyllaceae,Caryophyllales,30.92,0,69.08,R/CR
Silene colorata,Silene,colorata,Caryophyllaceae,Caryophyllales,17.57,0,82.43,R/CR
Silene elisabethae,Silene,elisabethae,Caryophyllaceae,Caryophyllales,50.12,14.06,35.82,CR/CSR
Silene linicola,Silene,linicola,Caryophyllaceae,Caryophyllales,29.62,0,70.38,R/CR
Silene otites,Silene,otites,Caryophyllaceae,Caryophyllales,29.41,66.72,3.88,S/CS
Silene rupestris,Silene,rupestris,Caryophyllaceae,Caryophyllales,8.34,13.35,78.31,R/SR
Silene saxatilis,Silene,saxatilis,Caryophyllaceae,Caryophyllales,20.35,24.5,55.15,R/CSR
Siphanthera arenaria,Siphanthera,arenaria,Melastomataceae,Myrtales,0,100,0,S
Sisyrinchium pendulum,Sisyrinchium,pendulum,Iridaceae,Asparagales,15.65,63.08,21.26,S/CSR
Soldanella alpina,Soldanella,alpina,Primulaceae,Ericales,19.96,72.06,7.97,S/CS
Soldanella pusilla,Soldanella,pusilla,Primulaceae,Ericales,6.45,61.1,32.45,S/SR
Solidago nana,Solidago,nana,Asteraceae,Asterales,11.09,74.24,14.67,S/SR
Solidago nemoralis,Solidago,nemoralis,Asteraceae,Asterales,19.81,46.76,33.43,SR/CSR
Solidago rigida,Solidago,rigida,Asteraceae,Asterales,53.62,39.22,7.17,CS
Solidago sciaphila,Solidago,sciaphila,Asteraceae,Asterales,22.54,30.34,47.11,R/CSR
Solidago virgaurea,Solidago,virgaurea,Asteraceae,Asterales,31.12,46.86,22.02,S/CSR
Triodanis perfoliata,Triodanis,perfoliata,Campanulaceae,Asterales,7.99,10.22,81.78,R
Stachys alopecuros,Stachys,alopecuros,Lamiaceae,Lamiales,55.96,2.81,41.22,CR
Stachys tenuifolia,Stachys,tenuifolia,Lamiaceae,Lamiales,24.39,53.56,22.05,S/CSR
Stellaria nemorum,Stellaria,nemorum,Caryophyllaceae,Caryophyllales,26.59,4.48,68.93,R/CR
Swertia iberica,Swertia,iberica,Gentianaceae,Gentianales,62.92,0,37.08,C/CR
Symphyotrichum ascendens,Symphyotrichum,ascendens,Asteraceae,Asterales,15.99,73.09,10.92,S/CS
Symphyotrichum oolentangiense,Symphyotrichum,oolentangiense,Asteraceae,Asterales,28.11,51.26,20.63,S/CSR
Symphytum tuberosum,Symphytum,tuberosum,Boraginaceae,Boraginales,44.89,0,55.11,CR
Comanthera cipoensis,Comanthera,cipoensis,Eriocaulaceae,Poales,17.28,82.72,0,S/CS
Taraxacum confusum,Taraxacum,confusum,Asteraceae,Asterales,50.75,0,49.25,CR
Taraxacum fulvum,Taraxacum,fulvum,Asteraceae,Asterales,35.17,0,64.83,R/CR
Taraxacum campylodes,Taraxacum,campylodes,Asteraceae,Asterales,57.78,0.57,41.65,CR
Taraxacum schroeterianum,Taraxacum,schroeterianum,Asteraceae,Asterales,19.75,0,80.25,R/CR
Taraxacum stevenii,Taraxacum,stevenii,Asteraceae,Asterales,26.27,0,73.73,R/CR
Lotus maritimus,Lotus,maritimus,Fabaceae,Fabales,23.83,30.76,45.41,R/CSR
Teucrium canadense,Teucrium,canadense,Lamiaceae,Lamiales,27.91,39.74,32.35,CSR
Teucrium montanum,Teucrium,montanum,Lamiaceae,Lamiales,1.81,76.09,22.1,S/SR
Teucrium scordium,Teucrium,scordium,Lamiaceae,Lamiales,13.53,4.45,82.02,R
Thalictrum alpinum,Thalictrum,alpinum,Ranunculaceae,Ranunculales,5.25,75.52,19.23,S/SR
Thalictrum dioicum,Thalictrum,dioicum,Ranunculaceae,Ranunculales,16.18,20.57,63.25,R/CSR
Thalictrum exaltatum,Thalictrum,exaltatum,Ranunculaceae,Ranunculales,62.59,30.36,7.05,C/CS
Thalictrum fendleri,Thalictrum,fendleri,Ranunculaceae,Ranunculales,53.78,33.01,13.21,C/CSR
Thelypteris palustris,Thelypteris,palustris,Thelypteridaceae,Polypodiales,62.9,2.38,34.72,C/CR
Thesium bavarum,Thesium,bavarum,Santalaceae,Santalales,14.93,44.19,40.88,SR/CSR
Thesium linophyllon,Thesium,linophyllon,Santalaceae,Santalales,3.48,28.78,67.75,R/SR
Thesium pyrenaicum,Thesium,pyrenaicum,Santalaceae,Santalales,5.53,17.07,77.4,R/SR
Thlaspi montanum,Thlaspi,montanum,Brassicaceae,Brassicales,12.64,0,87.36,R
Thlaspi rotundifolium,Thlaspi,rotundifolium,Brassicaceae,Brassicales,3.15,96.85,0,S
Tofieldia calyculata,Tofieldia,calyculata,Tofieldiaceae,Alismatales,17.49,69.54,12.97,S/CS
Tofieldia pusilla,Tofieldia,pusilla,Tofieldiaceae,Alismatales,3.42,66.06,30.52,S/SR
Tolpis staticifolia,Tolpis,staticifolia,Asteraceae,Asterales,39.88,0,60.12,CR
Townsendia exscapa,Townsendia,exscapa,Asteraceae,Asterales,3.67,78.88,17.45,S/SR
Traunsteinera sphaerica,Traunsteinera,sphaerica,Orchidaceae,Asparagales,42.25,0,57.75,CR
Trientalis europaea,Trientalis,europaea,Primulaceae,Ericales,10.73,33.72,55.54,R/CSR
Trifolium alpestre,Trifolium,alpestre,Fabaceae,Fabales,22.11,68.44,9.45,S/CS
Trifolium longipes,Trifolium,longipes,Fabaceae,Fabales,13.1,39.09,47.81,SR/CSR
Trifolium pallescens,Trifolium,pallescens,Fabaceae,Fabales,8.98,62.13,28.89,S/SR
Trifolium polyphyllum,Trifolium,polyphyllum,Fabaceae,Fabales,17.62,49.63,32.74,SR/CSR
Trillium cernuum,Trillium,cernuum,Melanthiaceae,Liliales,54.4,0,45.6,CR
Trillium flexipes,Trillium,flexipes,Melanthiaceae,Liliales,60.48,0,39.52,CR
Trinia glauca,Trinia,glauca,Apiaceae,Apiales,32.54,65.77,1.69,S/CS
Urtica kioviensis,Urtica,kioviensis,Urticaceae,Rosales,37.31,7.88,54.8,CR
Uvularia grandiflora,Uvularia,grandiflora,Colchicaceae,Liliales,39.68,5.57,54.75,CR
Valeriana alpestris,Valeriana,alpestris,Caprifoliaceae,Dipsacales,33.67,9.92,56.41,R/CSR
Valeriana pratensis,Valeriana,pratensis,Caprifoliaceae,Dipsacales,50.41,0,49.59,CR
Valeriana tripteris,Valeriana,tripteris,Caprifoliaceae,Dipsacales,34.05,0,65.95,R/CR
Vellozia caruncularis,Vellozia,caruncularis,Velloziaceae,Pandanales,19.22,80.78,0,S/CS
Vellozia epidendroides,Vellozia,epidendroides,Velloziaceae,Pandanales,10.43,89.57,0,S
Vellozia resinosa,Vellozia,resinosa,Velloziaceae,Pandanales,33.76,66.24,0,S/CS
Vellozia alutacea,Vellozia,alutacea,Velloziaceae,Pandanales,40.1,59.9,0,CS
Veratrum album,Veratrum,album,Melanthiaceae,Liliales,70.26,0,29.74,C/CR
Veratrum lobelianum,Veratrum,lobelianum,Melanthiaceae,Liliales,74.27,13.53,12.2,C/CS
Veratrum nigrum,Veratrum,nigrum,Melanthiaceae,Liliales,75.06,15.86,9.07,C/CS
Verbena hastata,Verbena,hastata,Verbenaceae,Lamiales,26.32,52.91,20.77,S/CSR
Centrapalus pauciflorus,Centrapalus,pauciflorus,Asteraceae,Asterales,35.89,0,64.11,R/CR
Veronica alpina,Veronica,alpina,Plantaginaceae,Lamiales,4.55,13.52,81.93,R
Veronica bellidioides,Veronica,bellidioides,Plantaginaceae,Lamiales,8.77,91.23,0,S
Veronica urticifolia,Veronica,urticifolia,Plantaginaceae,Lamiales,29.24,0,70.76,R/CR
Vicia americana,Vicia,americana,Fabaceae,Fabales,23.34,18.83,57.84,R/CSR
Vicia cassubica,Vicia,cassubica,Fabaceae,Fabales,33.14,44.58,22.29,CS/CSR
Viola alba,Viola,alba,Violaceae,Malpighiales,28.13,12.95,58.92,R/CSR
Viola altaica,Viola,altaica,Violaceae,Malpighiales,12.46,49.93,37.6,SR/CSR
Viola biflora,Viola,biflora,Violaceae,Malpighiales,8.41,0,91.59,R
Viola calcarata,Viola,calcarata,Violaceae,Malpighiales,5.31,36.16,58.53,SR
Viola canadensis,Viola,canadensis,Violaceae,Malpighiales,25.92,16.63,57.45,R/CSR
Viola comollia,Viola,comollia,Violaceae,Malpighiales,1.65,81.24,17.11,S/SR
Viola dubyana,Viola,dubyana,Violaceae,Malpighiales,0.03,43.08,56.89,SR
Viola hirta,Viola,hirta,Violaceae,Malpighiales,34.54,26.37,39.1,CSR
Viola mirabilis,Viola,mirabilis,Violaceae,Malpighiales,48.57,0.71,50.72,CR
Viola palustris,Viola,palustris,Violaceae,Malpighiales,22.14,3.56,74.3,R/CR
Viola persicifolia,Viola,persicifolia,Violaceae,Malpighiales,18.93,11.88,69.19,R/CR
Viola pubescens,Viola,pubescens,Violaceae,Malpighiales,38.17,0,61.83,CR
Viola reichenbachiana,Viola,reichenbachiana,Violaceae,Malpighiales,18.13,16.75,65.13,R/CSR
Viola sagittata,Viola,sagittata,Violaceae,Malpighiales,38.07,35.83,26.09,CSR
Xanthium albinum,Xanthium,albinum,Asteraceae,Asterales,82.99,7.46,9.56,C
Xeranthemum inapertum,Xeranthemum,inapertum,Asteraceae,Asterales,11.39,17.68,70.93,R/SR
Xerolekia speciosissima,Xerolekia,speciosissima,Asteraceae,Asterales,62.13,0,37.87,CR
Xyris melanopoda,Xyris,melanopoda,Xyridaceae,Poales,12.9,87.1,0,S
Xyris minarum,Xyris,minarum,Xyridaceae,Poales,0.85,99.15,0,S
Xyris nubigena,Xyris,nubigena,Xyridaceae,Poales,23.11,63.36,13.54,S/CS
Xyris obtusiuscula,Xyris,obtusiuscula,Xyridaceae,Poales,7.55,92.45,0,S
Xyris pilosa,Xyris,pilosa,Xyridaceae,Poales,15.33,84.67,0,S
Zizia aurea,Zizia,aurea,Apiaceae,Apiales,53.32,31.87,14.8,C/CSR
Abutilon theophrasti,Abutilon,theophrasti,Malvaceae,Malvales,66.59,14.07,19.34,C/CR
Acalypha virginica,Acalypha,virginica,Euphorbiaceae,Malpighiales,28.02,30.08,41.9,CSR
Achillea collina,Achillea,collina,Asteraceae,Asterales,41.02,15.79,43.19,CR/CSR
Achillea millefolium,Achillea,millefolium,Asteraceae,Asterales,22.02,58.81,19.18,S/CSR
Achillea roseo-alba,Achillea,roseo-alba,Asteraceae,Asterales,36.2,14.11,49.69,CR/CSR
Aconitum lycoctonum,Aconitum,lycoctonum,Ranunculaceae,Ranunculales,74.03,0,25.97,C/CR
Aconitum napellus,Aconitum,napellus,Ranunculaceae,Ranunculales,66.9,3.8,29.3,C/CR
Acorus calamus,Acorus,calamus,Acoraceae,Acorales,5.83,61.14,33.03,S/SR
Adiantum capillus-veneris,Adiantum,capillus-veneris,Pteridaceae,Polypodiales,48,0,52,CR
Adonis aestivalis,Adonis,aestivalis,Ranunculaceae,Ranunculales,12.24,0,87.76,R
Adonis vernalis,Adonis,vernalis,Ranunculaceae,Ranunculales,11.26,69.89,18.85,S/SR
Aegopodium podagraria,Aegopodium,podagraria,Apiaceae,Apiales,65.13,13.53,21.34,C/CR
Aethusa cynapium,Aethusa,cynapium,Apiaceae,Apiales,55.61,9.31,35.09,CR
Agrimonia eupatoria,Agrimonia,eupatoria,Rosaceae,Rosales,39.2,52.34,8.46,CS
Agrostemma githago,Agrostemma,githago,Caryophyllaceae,Caryophyllales,28.76,44.02,27.23,S/CSR
Ajuga chamaepitys,Ajuga,chamaepitys,Lamiaceae,Lamiales,11.92,3.73,84.34,R
Ajuga genevensis,Ajuga,genevensis,Lamiaceae,Lamiales,26.17,0,73.83,R/CR
Ajuga pyramidalis,Ajuga,pyramidalis,Lamiaceae,Lamiales,27.19,41.12,31.69,CSR
Ajuga reptans,Ajuga,reptans,Lamiaceae,Lamiales,23.85,16.87,59.29,R/CSR
Alcea rosea,Alcea,rosea,Malvaceae,Malvales,72.51,14.17,13.32,C/CS
Alchemilla glabra,Alchemilla,glabra,Rosaceae,Rosales,25.42,40.17,34.41,CSR
Alchemilla glaucescens,Alchemilla,glaucescens,Rosaceae,Rosales,32.77,42.4,24.83,CS/CSR
Alchemilla mollis,Alchemilla,mollis,Rosaceae,Rosales,60.01,24.15,15.84,C/CSR
Alchemilla monticola,Alchemilla,monticola,Rosaceae,Rosales,42.58,33.68,23.75,CS/CSR
Alchemilla propinqua,Alchemilla,propinqua,Rosaceae,Rosales,39.8,32.89,27.32,CSR
Alchemilla subcrenata,Alchemilla,subcrenata,Rosaceae,Rosales,41.01,27.85,31.15,CSR
Alchemilla xanthochlora,Alchemilla,xanthochlora,Rosaceae,Rosales,56.32,20.1,23.57,C/CSR
Alisma lanceolatum,Alisma,lanceolatum,Alismataceae,Alismatales,44.92,0,55.08,CR
Alliaria petiolata,Alliaria,petiolata,Brassicaceae,Brassicales,56.25,1.06,42.7,CR
Allium carinatum,Allium,carinatum,Amaryllidaceae,Asparagales,39.9,0,60.1,CR
Allium paradoxum,Allium,paradoxum,Amaryllidaceae,Asparagales,44.6,0,55.4,CR
Allium sphaerocephalon,Allium,sphaerocephalon,Amaryllidaceae,Asparagales,39.95,0,60.05,CR
Allium ursinum,Allium,ursinum,Amaryllidaceae,Asparagales,45.66,0,54.34,CR
Allium vineale,Allium,vineale,Amaryllidaceae,Asparagales,48.45,4.32,47.24,CR
Althaea officinalis,Althaea,officinalis,Malvaceae,Malvales,49.04,17.49,33.46,CR/CSR
Alyssum alyssoides,Alyssum,alyssoides,Brassicaceae,Brassicales,0.11,36.5,63.4,R/SR
Alyssum montanum,Alyssum,montanum,Brassicaceae,Brassicales,3.6,74.99,21.41,S/SR
Amaranthus caudatus,Amaranthus,caudatus,Amaranthaceae,Caryophyllales,61.23,6.09,32.68,C/CR
Amaranthus deflexus,Amaranthus,deflexus,Amaranthaceae,Caryophyllales,31.05,0,68.95,R/CR
Amaranthus retroflexus,Amaranthus,retroflexus,Amaranthaceae,Caryophyllales,52.14,23.69,24.17,C/CSR
Ambrosia artemisiifolia,Ambrosia,artemisiifolia,Asteraceae,Asterales,49.66,23.04,27.29,C/CSR
Ambrosia psilostachya,Ambrosia,psilostachya,Asteraceae,Asterales,15.9,61.34,22.76,S/CSR
Ambrosia trifida,Ambrosia,trifida,Asteraceae,Asterales,60.14,9.38,30.48,C/CR
Ammannia coccinea,Ammannia,coccinea,Lythraceae,Myrtales,34.47,7.77,57.76,CR
Ammi majus,Ammi,majus,Apiaceae,Apiales,6.46,0,93.54,R
Anagallis arvensis,Anagallis,arvensis,Primulaceae,Ericales,6.48,0,93.52,R
Anagallis minima,Anagallis,minima,Primulaceae,Ericales,0,0,100,R
Anaphalis margaritacea,Anaphalis,margaritacea,Asteraceae,Asterales,31.37,51.62,17.01,S/CSR
Anarrhinum bellidifolium,Anarrhinum,bellidifolium,Plantaginaceae,Lamiales,36.1,29.33,34.57,CSR
Anchusa azurea,Anchusa,azurea,Boraginaceae,Boraginales,65.04,0,34.96,C/CR
Anchusa officinalis,Anchusa,officinalis,Boraginaceae,Boraginales,46.17,0,53.83,CR
Anemone nemorosa,Anemone,nemorosa,Ranunculaceae,Ranunculales,38.18,10.7,51.12,CR
Anemone ranunculoides,Anemone,ranunculoides,Ranunculaceae,Ranunculales,33.01,9.67,57.32,R/CSR
Anemone sylvestris,Anemone,sylvestris,Ranunculaceae,Ranunculales,38.56,33.43,28.01,CSR
Anethum graveolens,Anethum,graveolens,Apiaceae,Apiales,45.79,0.77,53.44,CR
Angelica archangelica,Angelica,archangelica,Apiaceae,Apiales,81.36,8.84,9.8,C
Angelica sylvestris,Angelica,sylvestris,Apiaceae,Apiales,78.77,11.72,9.51,C/CS
Anthemis arvensis,Anthemis,arvensis,Asteraceae,Asterales,13.82,0,86.18,R
Anthemis cotula,Anthemis,cotula,Asteraceae,Asterales,57.03,6.62,36.35,CR
Anthemis ruthenica,Anthemis,ruthenica,Asteraceae,Asterales,20.65,0,79.35,R/CR
Anthericum liliago,Anthericum,liliago,Asparagaceae,Asparagales,65.91,0,34.09,C/CR
Anthriscus caucalis,Anthriscus,caucalis,Apiaceae,Apiales,43.09,12,44.91,CR/CSR
Anthriscus cerefolium,Anthriscus,cerefolium,Apiaceae,Apiales,20.52,1.42,78.06,R/CR
Anthriscus sylvestris,Anthriscus,sylvestris,Apiaceae,Apiales,62.03,0,37.97,CR
Anthyllis vulneraria,Anthyllis,vulneraria,Fabaceae,Fabales,32.04,0,67.96,R/CR
Aphanes arvensis,Aphanes,arvensis,Rosaceae,Rosales,2.14,35.74,62.12,R/SR
Apium nodiflorum,Apium,nodiflorum,Apiaceae,Apiales,40.05,0,59.95,CR
Aquilegia vulgaris,Aquilegia,vulgaris,Ranunculaceae,Ranunculales,41,32.01,26.99,CSR
Arabidopsis suecica,Arabidopsis,suecica,Brassicaceae,Brassicales,29.03,0,70.97,R/CR
Arabidopsis thaliana,Arabidopsis,thaliana,Brassicaceae,Brassicales,4.27,0,95.73,R
Arabis alpina,Arabis,alpina,Brassicaceae,Brassicales,9.7,0,90.3,R
Arabis collina,Arabis,collina,Brassicaceae,Brassicales,15.32,0,84.68,R
Arabis turrita,Arabis,turrita,Brassicaceae,Brassicales,46.99,0,53.01,CR
Arctium lappa,Arctium,lappa,Asteraceae,Asterales,87.25,0.4,12.36,C
Arctium minus,Arctium,minus,Asteraceae,Asterales,84.9,0,15.1,C
Arenaria lanuginosa,Arenaria,lanuginosa,Caryophyllaceae,Caryophyllales,3.54,0,96.46,R
Arenaria serpyllifolia,Arenaria,serpyllifolia,Caryophyllaceae,Caryophyllales,0,45.38,54.62,SR
Arnoseris minima,Arnoseris,minima,Asteraceae,Asterales,35.06,0,64.94,R/CR
Artemisia annua,Artemisia,annua,Asteraceae,Asterales,24.89,28.28,46.84,R/CSR
Artemisia campestris,Artemisia,campestris,Asteraceae,Asterales,22.29,30.41,47.3,R/CSR
Artemisia carruthii,Artemisia,carruthii,Asteraceae,Asterales,5.83,61.46,32.71,S/SR
Artemisia verlotiorum,Artemisia,verlotiorum,Asteraceae,Asterales,31.59,59.94,8.47,S/CS
Artemisia vulgaris,Artemisia,vulgaris,Asteraceae,Asterales,39.05,49.65,11.3,CS/CSR
Aruncus dioicus,Aruncus,dioicus,Rosaceae,Rosales,70.58,3.34,26.08,C/CR
Asarum canadense,Asarum,canadense,Aristolochiaceae,Piperales,69.93,0,30.07,C/CR
Asarum europaeum,Asarum,europaeum,Aristolochiaceae,Piperales,52.42,0,47.58,CR
Asclepias syriaca,Asclepias,syriaca,Apocynaceae,Gentianales,63.44,17.32,19.24,C/CSR
Asclepias tuberosa,Asclepias,tuberosa,Apocynaceae,Gentianales,30.75,28.17,41.08,CSR
Asparagus officinalis,Asparagus,officinalis,Asparagaceae,Asparagales,0.35,92.59,7.06,S
Asperugo procumbens,Asperugo,procumbens,Boraginaceae,Boraginales,17.26,0,82.74,R/CR
Asplenium ruta-muraria,Asplenium,ruta-muraria,Aspleniaceae,Polypodiales,12.57,54.62,32.8,S/CSR
Aster amellus,Aster,amellus,Asteraceae,Asterales,25.99,43.9,30.11,S/CSR
Astragalus cicer,Astragalus,cicer,Fabaceae,Fabales,40.62,18.89,40.49,CR/CSR
Astrantia major,Astrantia,major,Apiaceae,Apiales,59.76,0,40.24,CR
Atriplex glabriuscula,Atriplex,glabriuscula,Amaranthaceae,Caryophyllales,64.54,2.6,32.86,C/CR
Atriplex laciniata,Atriplex,laciniata,Amaranthaceae,Caryophyllales,45.81,26.52,27.67,C/CSR
Atriplex micrantha,Atriplex,micrantha,Amaranthaceae,Caryophyllales,59.45,8.39,32.16,C/CR
Atriplex oblongifolia,Atriplex,oblongifolia,Amaranthaceae,Caryophyllales,24.07,31.52,44.41,SR/CSR
Atriplex patula,Atriplex,patula,Amaranthaceae,Caryophyllales,50.84,0,49.16,CR
Atriplex prostrata,Atriplex,prostrata,Amaranthaceae,Caryophyllales,59.65,0,40.35,CR
Atriplex rosea,Atriplex,rosea,Amaranthaceae,Caryophyllales,19.44,43.52,37.05,SR/CSR
Atriplex tatarica,Atriplex,tatarica,Amaranthaceae,Caryophyllales,22.69,35.79,41.52,SR/CSR
Baptisia alba,Baptisia,alba,Fabaceae,Fabales,36.94,37.96,25.1,CSR
Barbarea intermedia,Barbarea,intermedia,Brassicaceae,Brassicales,40.91,0,59.09,CR
Barbarea stricta,Barbarea,stricta,Brassicaceae,Brassicales,26.17,0,73.83,R/CR
Barbarea vulgaris,Barbarea,vulgaris,Brassicaceae,Brassicales,17.07,1.72,81.21,R/CR
Bellis perennis,Bellis,perennis,Asteraceae,Asterales,21.13,0,78.87,R/CR
Berteroa incana,Berteroa,incana,Brassicaceae,Brassicales,10.84,43.22,45.95,SR/CSR
Bidens cernua,Bidens,cernua,Asteraceae,Asterales,25.93,27.44,46.62,R/CSR
Bidens connata,Bidens,connata,Asteraceae,Asterales,26.71,0,73.29,R/CR
Bidens frondosa,Bidens,frondosa,Asteraceae,Asterales,45.53,5.62,48.86,CR
Bidens radiata,Bidens,radiata,Asteraceae,Asterales,62.88,0,37.12,C/CR
Bidens tripartita,Bidens,tripartita,Asteraceae,Asterales,43.99,0,56.01,CR
Bifora radians,Bifora,radians,Apiaceae,Apiales,32.66,0,67.34,R/CR
